2459338.377	4.654381
2459338.381	4.638605
2459338.384	4.479909
2459338.387	4.105235
2459338.391	3.836954
2459338.394	4.118736
2459338.401	3.582924
2459338.404	3.959884
2459338.407	4.090434
2459338.42	3.85075
2459338.423	3.717715
2459338.426	3.943153
2459338.43	4.109909
2459338.433	4.094616
2459338.438	4.225247
2459338.442	4.379539
2459338.447	4.638603
2459338.45	4.003682
2459338.453	4.269286
2459338.457	4.523171
2459338.473	4.391227
2459338.478	4.276639
2459338.481	4.28642
2459338.485	4.203352
2459338.488	4.313593
2459338.491	4.174185
2459338.495	3.950834
2459338.501	3.982264
2459338.505	4.135866
2459338.508	4.153372
2459338.511	3.949651
2459338.515	4.115805
2459338.518	3.928703
2459338.521	3.993207
2459338.525	3.846185
2459338.528	3.934812
