2458322.3670516	0.86675
2458322.3685099	0.86663
2458322.3700029	0.86482
2458322.3714959	0.86256
2458322.3729774	0.86513
2458322.3744357	0.86233
2458322.3774448	0.86301
2458322.3789031	0.86568
2458322.3803961	0.86464
2458322.3818428	0.86501
2458322.3833358	0.86497
2458322.3847825	0.86453
2458322.3862755	0.86876
2458322.3877338	0.86455
2458322.3892153	0.86819
2458322.3907083	0.86438
2458322.3921666	0.86476
2458322.3936480	0.86773
2458322.3951410	0.86732
2458322.3980923	0.86980
2458322.3995390	0.86689
2458322.4010320	0.87148
2458322.4039717	0.87536
2458322.4054647	0.87441
2458322.4069230	0.87837
2458322.4084160	0.87667
2458322.4098975	0.88047
2458322.4113557	0.87840
2458322.4128487	0.88224
2458322.4143649	0.88041
2458322.4158579	0.87836
2458322.4187976	0.88029
2458322.4202906	0.88263
2458322.4217836	0.88731
2458322.4232766	0.88736
2458322.4247696	0.88525
2458322.4262627	0.88830
2458322.4277094	0.88465
2458322.4291677	0.88625
2458322.4321074	0.88218
2458322.4350471	0.88395
2458322.4365054	0.88123
2458322.4380215	0.88346
2458322.4410075	0.87906
2458322.4424543	0.88025
2458322.4439125	0.88774
2458322.4468175	0.88256
2458322.4482642	0.87796
2458322.4497225	0.87874
2458322.4511692	0.88000
2458322.4526622	0.87773
2458322.4541553	0.87796
2458322.4556483	0.87262
2458322.4570950	0.87228
2458322.4585880	0.87031
2458322.4600810	0.86499
2458322.4615624	0.86254
2458322.4630091	0.86620
2458322.4645021	0.85899
2458322.4659488	0.85969
2458322.4674419	0.85941
2458322.4689001	0.86030
2458322.4703931	0.85824
2458322.4718399	0.86084
2458322.4733329	0.86398
2458322.4747796	0.86130
2458322.4762726	0.86564
2458322.4777309	0.86334
2458322.4792123	0.86284
2458322.4806706	0.86092
2458322.4821173	0.86008
2458322.4850339	0.86354
2458322.4864806	0.86194
2458322.4879389	0.86537
2458322.4893856	0.86149
2458322.4908439	0.86108
2458322.4922906	0.86729
2458322.4937489	0.86093
2458322.4951956	0.86841
2458322.4966539	0.86425
2458322.4981006	0.86910
2458322.4995589	0.86462
2458322.5010056	0.86604
2458322.5024986	0.86441
2458322.5039569	0.86173
2458322.5054499	0.86399
2458322.5068966	0.86636
2458322.5083780	0.86299
2458322.5098710	0.86609
2458322.5113640	0.86227
2458322.5128107	0.86542
